KODE	ACCOUNT	JENIS	TYPE	GROUP	DBCR	SALDO
620076	  Biaya Administrasi Bank	D	6	62	0	
620077	  Biaya Dokumentasi	D	6	62	0	
620078	  Biaya Umum dan Administrasi	D	6	62	0	
620079	  Beban PPh 4 ayat 2	D	6	62	0	
620080	  Beban PPh 21	D	6	62	0	
620081	  Beban PPh 23	D	6	62	0	
620082	  Beban PPh 25	D	6	62	0	
620083	  Beban PPh 26	D	6	62	0	
620084	  Beban Denda Pajak	D	6	62	0	
620085	  Biaya Retribusi	D	6	62	0	
620086	  Biaya Iklan	D	6	62	0	
620087	"  Biaya Hadiah, Parcel,dll."	D	6	62	0	
620088	  Beban Pajak Penghasilan	D	6	62	0	
7	Pendapatan Lain-lain	T	7		1	
71	  Pendapatan Lainnya	H	7		1	
710001	  Pendapatan Bunga Bank Jasa Giro	D	7	71	1	
710002	  Pendapatan Bunga Bank Jasa Desposito	D	7	71	1	
710003	  Pendapatan Penjualan Barang	D	7	71	1	
8	Biaya Lain-lain	T	8		0	
81	  Biaya Lain-lain	H	8		0	
801001	  Biaya ADM  Bank	D	8	80	0	
801002	  Beban Pajak Bunga Bank	D	8	80	0	
801003	  Bunga Bank	D	8	80	0	
801101	  Biaya Taksiran Pajak Penghasilan	D	8	80	0	
801102	  Pendapatan/Biaya Pajak Yang Ditangguhkan	D	8	80	0	
801999	  Biaya Lain-lain	D	8	80	0	
999	  Sementara	D	8	80	0	
